                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8538,                 2.5475,                 1.8932,                0.63514,                0.85751,                 0.6816,                0.35188,                 1.6236,                 2.5986,                 1.9383,                 0.0002,                 0.0002,                 0.0002
                      2,                 1.3641,                0.86166,                 1.3698,                0.06692,                0.52888,                 0.0545,                0.02383,                    nan,                    nan,                    nan,             0.00041168,             0.00041168,             0.00041168
                      3,                 1.3082,                0.78287,                 1.3331,                0.06692,                0.52888,                 0.0545,                0.02383,                    nan,                    nan,                    nan,             0.00061466,             0.00061466,             0.00061466
                      4,                 1.3269,                0.80765,                 1.3376,                0.00115,                 0.0077,                0.00052,                 0.0002,                    nan,                    nan,                    nan,             0.00080892,             0.00080892,             0.00080892
                      5,                 1.3233,                0.70086,                 1.3278,                0.51317,                 0.4801,                0.47035,                0.24227,                 1.7369,                 2.4147,                 1.8995,             0.00099446,             0.00099446,             0.00099446
                      6,                  1.336,                0.69435,                 1.3608,                0.00171,                0.02311,                0.00088,                0.00018,                 4.7945,                    inf,                 5.1917,              0.0011713,              0.0011713,              0.0011713
                      7,                 1.2934,                0.67031,                 1.3206,                0.39727,                0.40021,                0.33618,                0.15815,                 2.3531,                 2.8331,                 2.5597,              0.0013394,              0.0013394,              0.0013394
                      8,                 1.2656,                0.65552,                 1.3005,                0.77153,                0.81933,                 0.8427,                0.42818,                 1.5104,                 1.1233,                 1.8057,              0.0014988,              0.0014988,              0.0014988
                      9,                 1.3583,                0.69333,                 1.3638,                0.82932,                0.86008,                0.87979,                0.48737,                 1.4197,                 1.1709,                 1.7072,              0.0016495,              0.0016495,              0.0016495
                     10,                 1.2949,                0.68546,                 1.3543,                0.78229,                0.74265,                0.76182,                0.42208,                 1.5459,                 1.1653,                 1.8557,              0.0016436,              0.0016436,              0.0016436
                     11,                  1.284,                0.66912,                 1.3234,                0.86752,                0.79857,                0.88277,                 0.5106,                  1.323,                0.83216,                  1.537,               0.001604,               0.001604,               0.001604
                     12,                 1.2744,                0.63874,                 1.2983,                0.72445,                0.80103,                0.73039,                0.36275,                 1.6473,                 0.9255,                 1.8184,              0.0015644,              0.0015644,              0.0015644
                     13,                 1.2411,                0.63857,                 1.3031,                0.82273,                0.79076,                0.84497,                0.43523,                 1.5494,                 1.1062,                 1.7121,              0.0015248,              0.0015248,              0.0015248
                     14,                 1.2365,                0.63252,                 1.3197,                0.80587,                0.79402,                0.84538,                0.44736,                 1.5657,                0.79217,                 1.7448,              0.0014852,              0.0014852,              0.0014852
                     15,                 1.2596,                0.61313,                 1.3069,                0.92978,                 0.8839,                0.94435,                 0.5756,                 1.2508,                0.57858,                 1.4327,              0.0014456,              0.0014456,              0.0014456
                     16,                 1.2034,                0.57858,                  1.248,                0.87429,                0.94635,                0.94084,                0.56157,                 1.2916,                0.55411,                  1.487,               0.001406,               0.001406,               0.001406
                     17,                 1.2174,                0.57211,                 1.2629,                0.86778,                0.94737,                0.94991,                0.58767,                  1.236,                0.54127,                    1.4,              0.0013664,              0.0013664,              0.0013664
                     18,                 1.2248,                0.57535,                 1.2883,                0.87832,                0.95437,                0.93608,                0.57951,                 1.2018,                0.53691,                 1.3766,              0.0013268,              0.0013268,              0.0013268
                     19,                 1.1918,                0.57743,                 1.2758,                 0.8828,                0.95727,                0.93156,                 0.5816,                 1.1842,                0.52213,                 1.3565,              0.0012872,              0.0012872,              0.0012872
                     20,                 1.1634,                0.54603,                 1.2359,                0.91455,                0.95764,                0.96114,                0.59589,                  1.252,                0.47284,                 1.3896,              0.0012476,              0.0012476,              0.0012476
                     21,                 1.1852,                0.53428,                 1.2471,                0.89488,                0.91793,                0.94525,                0.59097,                 1.1908,                0.54249,                  1.347,               0.001208,               0.001208,               0.001208
                     22,                 1.1625,                0.54498,                  1.244,                0.89509,                0.94994,                 0.9579,                0.61464,                 1.1316,                0.46663,                 1.3038,              0.0011684,              0.0011684,              0.0011684
                     23,                 1.1496,                0.52422,                 1.2462,                0.91436,                0.93198,                0.95795,                0.57258,                 1.3126,                0.47728,                 1.4445,              0.0011288,              0.0011288,              0.0011288
                     24,                 1.1556,                0.52859,                  1.247,                0.91316,                0.96406,                0.96666,                 0.6206,                  1.178,                0.47422,                 1.3072,              0.0010892,              0.0010892,              0.0010892
                     25,                 1.1385,                0.51115,                 1.2262,                0.91936,                0.95122,                0.95928,                 0.6196,                  1.127,                0.44666,                 1.3022,              0.0010496,              0.0010496,              0.0010496
                     26,                 1.1218,                0.51637,                 1.2135,                0.92218,                0.94095,                0.96117,                0.61497,                  1.181,                0.44256,                 1.3483,                0.00101,                0.00101,                0.00101
                     27,                 1.1224,                 0.5072,                 1.2119,                0.89907,                0.96662,                0.96913,                0.62883,                 1.1327,                0.42446,                 1.3118,              0.0009704,              0.0009704,              0.0009704
                     28,                 1.1051,                0.50419,                 1.2062,                0.90977,                0.95635,                0.96668,                0.61691,                 1.1596,                 0.4632,                 1.3177,              0.0009308,              0.0009308,              0.0009308
                     29,                 1.0976,                0.48323,                 1.1969,                0.93679,                0.93967,                0.97008,                0.61704,                 1.1442,                0.43568,                 1.3169,              0.0008912,              0.0008912,              0.0008912
                     30,                 1.1345,                0.50238,                 1.2262,                0.92656,                0.94608,                0.97064,                0.60691,                 1.1806,                0.44061,                 1.3251,              0.0008516,              0.0008516,              0.0008516
                     31,                 1.1059,                 0.4905,                 1.2191,                0.91224,                0.96534,                 0.9746,                0.62731,                 1.1598,                0.43419,                 1.3224,               0.000812,               0.000812,               0.000812
                     32,                 1.1006,                0.48074,                 1.1944,                0.92558,                0.94994,                0.97181,                0.62704,                 1.1741,                0.42958,                 1.3117,              0.0007724,              0.0007724,              0.0007724
                     33,                 1.1191,                0.49985,                 1.2216,                0.91829,                0.95507,                0.96415,                0.61502,                 1.1508,                 0.4371,                 1.3063,              0.0007328,              0.0007328,              0.0007328
                     34,                 1.1108,                0.48558,                 1.2117,                0.91878,                0.96149,                0.96461,                0.61118,                 1.1768,                0.44231,                 1.3159,              0.0006932,              0.0006932,              0.0006932
                     35,                 1.0791,                0.47112,                 1.1788,                0.91451,                0.96121,                0.96354,                0.62942,                 1.1484,                 0.4168,                 1.3133,              0.0006536,              0.0006536,              0.0006536
                     36,                 1.0904,                 0.4695,                 1.2083,                 0.9299,                0.93838,                0.95921,                0.62532,                 1.1455,                0.41749,                 1.3035,               0.000614,               0.000614,               0.000614
                     37,                 1.0656,                0.46516,                 1.1906,                0.91671,                0.96074,                0.95877,                 0.6248,                 1.1337,                0.41539,                 1.2952,              0.0005744,              0.0005744,              0.0005744
                     38,                 1.0836,                0.47455,                  1.217,                0.91814,                0.95764,                0.97212,                0.63558,                 1.1639,                0.40157,                 1.3015,              0.0005348,              0.0005348,              0.0005348
                     39,                 1.0634,                0.45683,                  1.193,                0.94645,                 0.9303,                0.96936,                0.62627,                 1.1192,                 0.3969,                 1.2949,              0.0004952,              0.0004952,              0.0004952
                     40,                 1.0534,                0.46111,                 1.1863,                0.93334,                0.95259,                0.97832,                0.63514,                 1.1491,                0.40582,                 1.2886,              0.0004556,              0.0004556,              0.0004556
                     41,                 1.0728,                0.45454,                 1.2242,                0.92682,                0.95926,                0.97687,                0.62385,                 1.1847,                0.40779,                 1.3074,               0.000416,               0.000416,               0.000416
                     42,                 1.0418,                0.43612,                 1.2265,                0.94272,                0.95067,                0.97724,                0.62916,                 1.1289,                0.39597,                 1.2954,              0.0003764,              0.0003764,              0.0003764
                     43,                 1.0377,                0.43151,                 1.2283,                0.94336,                 0.9525,                0.98424,                0.63255,                 1.1603,                0.40419,                 1.3034,              0.0003368,              0.0003368,              0.0003368
                     44,                 1.0253,                 0.4145,                 1.1717,                0.94416,                0.95499,                0.98295,                0.62991,                 1.1573,                0.40277,                  1.299,              0.0002972,              0.0002972,              0.0002972
                     45,                  1.001,                0.40788,                 1.1891,                0.92989,                0.95764,                0.97879,                 0.6399,                 1.1128,                0.39386,                 1.2958,              0.0002576,              0.0002576,              0.0002576
                     46,                  1.004,                0.39949,                 1.1904,                0.93167,                0.96277,                0.98473,                 0.6554,                 1.1337,                0.39198,                 1.2881,               0.000218,               0.000218,               0.000218
                     47,                  1.006,                0.39967,                 1.1825,                 0.9397,                0.96027,                 0.9851,                0.65067,                 1.1541,                0.38771,                 1.3028,              0.0001784,              0.0001784,              0.0001784
                     48,                0.98338,                0.39464,                 1.1745,                0.94619,                0.94994,                0.98541,                0.65663,                  1.126,                0.37648,                 1.2953,              0.0001388,              0.0001388,              0.0001388
                     49,                0.97053,                0.39348,                 1.1723,                0.93724,                0.95857,                0.98449,                0.65464,                   1.12,                0.37611,                 1.2958,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                  0.966,                 0.3805,                 1.1755,                0.93249,                0.95751,                0.98066,                0.65623,                 1.1145,                0.37836,                  1.295,               5.96e-05,               5.96e-05,               5.96e-05
